label,preferred_specification,alternative_spec_1,alternative_spec_2,alternative_spec_3,alternative_spec_4,alternative_spec_5
"Name of display item (e.g. Table 1, Figure S3)",Table 6,Table 6,,,,
Estimate,0.966,1.149,,,,
Standard Error,0.558,0.554,,,,
"Units (e.g. %, $, log($), elasticity, standard deviations)",log GDP per capita,log GDP per capita,,,,
p-value,0.083,0.038,,,,
Confidence interval,"[-0.128, 2.06]","[0.063, 2.235]",,,,
Other Statistic,20.84,24.87,,,,
Page,84,84,,,,
Column,1,2,,,,
Row,1,1,,,,
Inline Paragraph,,,,,,
Econometric Method,IV (2SLS),IV (2SLS),,,,
Specify method (if other selected),,,,,,